Date,Renewable_Energy_Production
1988-06-01,453.891
1988-07-01,442.602
1988-08-01,437.214
1988-09-01,426.312
1988-10-01,422.602
1988-11-01,448.903
1988-12-01,472.132
1989-01-01,509.146
1989-02-01,461.434
1989-03-01,532.714
1989-04-01,530.096
1989-05-01,562.699
1989-06-01,546.135
1989-07-01,525.096
1989-08-01,513.153
1989-09-01,487.948
1989-10-01,511.058
1989-11-01,521.323
1989-12-01,533.84
1990-01-01,511.271
1990-02-01,508.359
1990-03-01,567.933
1990-04-01,530.428
1990-05-01,525.671
1990-06-01,503.361
1990-07-01,499.493
1990-08-01,497.453
1990-09-01,447.347
1990-10-01,460.198
1990-11-01,459.564
1990-12-01,528.926
1991-01-01,569.476
1991-02-01,465.115
1991-03-01,519.107
1991-04-01,492.91
1991-05-01,540.586
1991-06-01,513.636
1991-07-01,499.532
1991-08-01,512.227
1991-09-01,491.72
1991-10-01,467.133
1991-11-01,467.741
1991-12-01,528.579
1992-01-01,535.604
1992-02-01,449.192
1992-03-01,482.781
1992-04-01,445.952
1992-05-01,455.236
1992-06-01,497.878
1992-07-01,486.974
1992-08-01,491.438
1992-09-01,458.26
1992-10-01,472.677
1992-11-01,498.629
1992-12-01,545.911
1993-01-01,564.642
1993-02-01,477.335
1993-03-01,543.311
1993-04-01,527.474
1993-05-01,537.1
1993-06-01,506.685
1993-07-01,491.681
1993-08-01,502.287
1993-09-01,461.697
1993-10-01,468.758
1993-11-01,482.148
1993-12-01,518.764
1994-01-01,546.053
1994-02-01,474.595
1994-03-01,530.489
1994-04-01,515.822
1994-05-01,494.544
1994-06-01,497.428
1994-07-01,538.294
1994-08-01,484.33
1994-09-01,433.622
1994-10-01,476.298
1994-11-01,482.928
1994-12-01,512.709
1995-01-01,516.503
1995-02-01,478.62
1995-03-01,550.404
1995-04-01,536.523
1995-05-01,533.618
1995-06-01,560.143
1995-07-01,601.274
1995-08-01,582.279
1995-09-01,499.49
1995-10-01,558.494
1995-11-01,554.285
1995-12-01,585.642
1996-01-01,606.65
1996-02-01,571.302
1996-03-01,627.922
1996-04-01,556.065
1996-05-01,594.902
1996-06-01,607.613
1996-07-01,610.092
1996-08-01,594.874
1996-09-01,513.255
1996-10-01,568.74
1996-11-01,561.304
1996-12-01,598.131
1997-01-01,629.796
1997-02-01,563.282
1997-03-01,628.984
1997-04-01,603.773
1997-05-01,642.242
1997-06-01,607.799
1997-07-01,611.209
1997-08-01,566.979
1997-09-01,513.208
1997-10-01,581.269
1997-11-01,526.463
1997-12-01,541.764
1998-01-01,591.522
1998-02-01,534.59
1998-03-01,585.341
1998-04-01,550.08
1998-05-01,606.588
1998-06-01,538.488
1998-07-01,565.994
1998-08-01,537.283
1998-09-01,487.106
1998-10-01,485.974
1998-11-01,456.083
1998-12-01,553.637
1999-01-01,596.135
1999-02-01,533.202
1999-03-01,564.559
1999-04-01,551.65
1999-05-01,610.248
1999-06-01,571.946
1999-07-01,593.676
1999-08-01,547.07
1999-09-01,482.158
1999-10-01,456.712
1999-11-01,492.902
1999-12-01,515.274
2000-01-01,505.147
2000-02-01,499.955
2000-03-01,558
2000-04-01,568.518
2000-05-01,558.717
2000-06-01,509.108
2000-07-01,526.256
2000-08-01,503.68
2000-09-01,443.37
2000-10-01,468.21
2000-11-01,482.862
2000-12-01,477.781
2001-01-01,444.966
2001-02-01,404.064
2001-03-01,455.774
2001-04-01,425.359
2001-05-01,435.509
2001-06-01,454.608
2001-07-01,436.058
2001-08-01,447.894
2001-09-01,396.462
2001-10-01,409.912
2001-11-01,401.766
2001-12-01,449.323
2002-01-01,476.538
2002-02-01,428.352
2002-03-01,459.457
2002-04-01,488.503
2002-05-01,527.64
2002-06-01,533.563
2002-07-01,525.237
2002-08-01,469.651
2002-09-01,431.886
2002-10-01,445.445
2002-11-01,455.848
2002-12-01,488.691
2003-01-01,470.084
2003-02-01,437.329
2003-03-01,508.199
2003-04-01,509.631
2003-05-01,557.601
2003-06-01,549.071
2003-07-01,524.603
2003-08-01,501.509
2003-09-01,447.102
2003-10-01,451.913
2003-11-01,460.803
2003-12-01,524.518
2004-01-01,514.248
2004-02-01,474.088
2004-03-01,510.681
2004-04-01,488.736
2004-05-01,522.585
2004-06-01,531.771
2004-07-01,523.845
2004-08-01,502.467
2004-09-01,479.379
2004-10-01,472.876
2004-11-01,484.736
2004-12-01,557.132
2005-01-01,537.024
2005-02-01,489.382
2005-03-01,524.478
2005-04-01,514.322
2005-05-01,567.445
2005-06-01,559.535
2005-07-01,561.815
2005-08-01,514.634
2005-09-01,464.15
2005-10-01,475.798
2005-11-01,484.887
2005-12-01,527.149
2006-01-01,590.869
2006-02-01,529.214
2006-03-01,553.135
2006-04-01,577.794
2006-05-01,611.315
2006-06-01,598.553
2006-07-01,568.524
2006-08-01,531.419
2006-09-01,478.049
2006-10-01,489.33
2006-11-01,515.778
2006-12-01,541.985
2007-01-01,592.139
2007-02-01,487.978
2007-03-01,574.729
2007-04-01,566.479
2007-05-01,594.169
2007-06-01,555.712
2007-07-01,561.991
2007-08-01,542.003
2007-09-01,483.281
2007-10-01,500.562
2007-11-01,503.15
2007-12-01,547.781
2008-01-01,597.514
2008-02-01,542.157
2008-03-01,604.343
2008-04-01,607.143
2008-05-01,668.706
2008-06-01,675.398
2008-07-01,646.179
2008-08-01,599.136
2008-09-01,531.866
2008-10-01,552.074
2008-11-01,551.693
2008-12-01,614.709
2009-01-01,626.626
2009-02-01,545.174
2009-03-01,625.216
2009-04-01,651.188
2009-05-01,693.066
2009-06-01,685.709
2009-07-01,645.551
2009-08-01,617.941
2009-09-01,570.828
2009-10-01,628.157
2009-11-01,642.508
2009-12-01,692.132
2010-01-01,684.495
2010-02-01,622.578
2010-03-01,696.482
2010-04-01,675.51
2010-05-01,732.525
2010-06-01,768.768
2010-07-01,717.387
2010-08-01,677.829
2010-09-01,640.886
2010-10-01,661.166
2010-11-01,695.87
2010-12-01,738.991
2011-01-01,755.734
2011-02-01,718.251
2011-03-01,826.948
2011-04-01,824.325
2011-05-01,845.387
2011-06-01,837.126
2011-07-01,805.367
2011-08-01,755.38
2011-09-01,689.269
2011-10-01,719.799
2011-11-01,747.776
2011-12-01,780.226
2012-01-01,773.503
2012-02-01,695.572
2012-03-01,797.11
2012-04-01,770.4
2012-05-01,812.606
2012-06-01,779.085
2012-07-01,750.558
2012-08-01,719.969
2012-09-01,650.758
2012-10-01,683.128
2012-11-01,687.341
2012-12-01,769.471
2013-01-01,798.301
2013-02-01,712.286
2013-03-01,779.737
2013-04-01,828.75
2013-05-01,869.844
2013-06-01,833.815
2013-07-01,825.831
2013-08-01,753.316
2013-09-01,708.225
2013-10-01,751.381
2013-11-01,769.799
2013-12-01,806.743
2014-01-01,832.071
2014-02-01,715.293
2014-03-01,867.44
2014-04-01,874.973
2014-05-01,872.186
2014-06-01,870.396
2014-07-01,837.458
2014-08-01,769.384
2014-09-01,724.546
2014-10-01,775.083
2014-11-01,819.811
2014-12-01,839.005
2015-01-01,832.216
2015-02-01,774.095
2015-03-01,840.618
2015-04-01,836.982
2015-05-01,830.356
2015-06-01,795.457
2015-07-01,821.508
2015-08-01,795.295
2015-09-01,745.604
2015-10-01,778.143
2015-11-01,829.956
2015-12-01,885.702
2016-01-01,878.465
2016-02-01,866.91
2016-03-01,945.572
2016-04-01,895.644
2016-05-01,906.372
2016-06-01,863.119
2016-07-01,874.58
2016-08-01,827.09
2016-09-01,792.544
2016-10-01,839.767
2016-11-01,840.572
2016-12-01,946.713
2017-01-01,931.66
2017-02-01,878.644
2017-03-01,1031.12
2017-04-01,1002.379
2017-05-01,1039.889
2017-06-01,994.36
2017-07-01,928.979
2017-08-01,874.481
2017-09-01,849.391
2017-10-01,904.786
2017-11-01,896.117
2017-12-01,927.668
2018-01-01,976.925
2018-02-01,922.928
2018-03-01,1017.19
2018-04-01,1024.172
2018-05-01,1054.657
2018-06-01,1033.797
2018-07-01,948.979
2018-08-01,953.708
2018-09-01,872.337
2018-10-01,909.445
2018-11-01,913.357
2018-12-01,952.039
2019-01-01,952.652
2019-02-01,882.908
2019-03-01,999.781
2019-04-01,1039.685
2019-05-01,1073.738
2019-06-01,1009.853
2019-07-01,998.255
2019-08-01,952.537
2019-09-01,912.455
2019-10-01,941.523
2019-11-01,912.04
2019-12-01,951.888
2020-01-01,981.348
2020-02-01,985.244
2020-03-01,995.181
2020-04-01,922.939
2020-05-01,1021.41
2020-06-01,1038.777
2020-07-01,994.972
2020-08-01,954.87
2020-09-01,884.512
2020-10-01,938.443
2020-11-01,980.577
2020-12-01,984.448
2021-01-01,994.593
2021-02-01,872.051
2021-03-01,1094.178
2021-04-01,1051.96
2021-05-01,1110.14
2021-06-01,1037.859
2021-07-01,999.084
2021-08-01,1013.442
2021-09-01,970.492
2021-10-01,1004.52
2021-11-01,1038.315
2021-12-01,1116.409
2022-01-01,1133.858
2022-02-01,1075.089
2022-03-01,1212.817
2022-04-01,1180.213
2022-05-01,1223.446
2022-06-01,1191.116
2022-07-01,1137.061
2022-08-01,1048.755
2022-09-01,983.256
2022-10-01,1024.145
2022-11-01,1102.058
2022-12-01,1093.141
2023-01-01,1123.029
2023-02-01,1087.139
